                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.9345,                 2.1331,                 1.9208,                0.20748,                0.19876,                0.16228,                0.07272,                 2.2422,                  2.433,                 2.1927,              0.0008375,              0.0008375,              0.0008375
                    103,                 1.8903,                 2.0652,                 1.9157,                   0.15,                 0.1969,                0.13669,                0.05741,                 2.2778,                  2.641,                 2.1957,             0.00083337,             0.00083337,             0.00083337
                    104,                 1.8994,                 2.0904,                 1.8941,                 0.2641,                0.17895,                0.15662,                0.06894,                 2.2034,                 2.4752,                 2.1576,             0.00082925,             0.00082925,             0.00082925
                    105,                 1.8708,                 2.0577,                 1.9109,                0.25382,                0.20334,                0.18339,                0.08093,                  2.179,                 2.3091,                 2.1749,             0.00082513,             0.00082513,             0.00082513
                    106,                 1.9457,                 2.1315,                 1.9217,                0.22182,                 0.2063,                0.17694,                0.07825,                   2.16,                 2.4871,                 2.1494,               0.000821,               0.000821,               0.000821
                    107,                 1.8944,                 2.0177,                 1.9113,                0.39491,                 0.2508,                0.27067,                0.09784,                 2.2333,                 2.3294,                 2.2085,             0.00081688,             0.00081688,             0.00081688
                    108,                 1.8655,                 2.0528,                 1.8957,                0.31539,                 0.2119,                0.17701,                0.07214,                 2.2239,                 2.3847,                 2.1711,             0.00081275,             0.00081275,             0.00081275
                    109,                  1.905,                 2.0282,                 1.9109,                0.61983,                0.18657,                0.18213,                0.07372,                 2.2492,                 2.4921,                 2.2069,             0.00080863,             0.00080863,             0.00080863
                    110,                 1.8713,                 2.0276,                 1.8865,                0.25095,                0.18598,                0.18345,                0.08376,                 2.2289,                 2.3451,                 2.2121,              0.0008045,              0.0008045,              0.0008045
                    111,                 1.8066,                 2.0276,                 1.8729,                0.18452,                0.14998,                0.12614,                0.05283,                 2.3118,                 2.5246,                 2.2828,             0.00080038,             0.00080038,             0.00080038
                    112,                 1.9169,                 2.0584,                 1.9145,                0.18995,                0.19424,                0.16416,                0.06766,                 2.2543,                 2.3784,                 2.2302,             0.00079625,             0.00079625,             0.00079625
                    113,                 1.9087,                 2.0519,                 1.8993,                0.21757,                 0.1958,                0.15442,                 0.0796,                 2.1676,                 2.4471,                 2.1835,             0.00079213,             0.00079213,             0.00079213
                    114,                 1.8713,                 2.0074,                 1.8932,                0.34301,                0.19642,                 0.1998,                 0.0918,                 2.1996,                 2.3431,                 2.1735,               0.000788,               0.000788,               0.000788
                    115,                 1.9572,                 2.0048,                 1.9089,                0.21191,                0.19279,                0.15676,                0.07162,                 2.2504,                 2.5034,                 2.2283,             0.00078387,             0.00078387,             0.00078387
                    116,                 1.8788,                 2.0092,                 1.8847,                0.23925,                0.18365,                0.14785,                0.06622,                 2.2596,                 2.4541,                 2.2509,             0.00077975,             0.00077975,             0.00077975
                    117,                  1.886,                 2.0469,                 1.8749,                0.24028,                0.18598,                0.18156,                0.08184,                 2.2472,                  2.386,                 2.1878,             0.00077563,             0.00077563,             0.00077563
                    118,                 1.8499,                  1.982,                 1.8615,                0.22741,                0.17776,                0.17257,                0.08271,                 2.2177,                 2.3954,                 2.1464,              0.0007715,              0.0007715,              0.0007715
